ghe_id,lay_description
362,"Infections from flatworms caught by eating raw or undercooked food."
365,"Long-term bacterial infection of the skin and nerves, also called Hansen's disease."
370,"Other infectious and parasitic diseases not listed separately."
380,"Infections of the airways and lungs."
390,"Infections of the lungs and lower airways, such as pneumonia."
395,"Illness caused by the coronavirus that emerged in 2019."
400,"Infections of the nose, throat, and upper airways, like colds."
410,"Infection of the middle ear, common in young children."
420,"Health problems related to pregnancy and childbirth."
490,"Health problems affecting babies in their first weeks of life."
500,"Complications in babies who are born too early."
510,"Lack of oxygen or physical injury to a baby during birth."
520,"Blood infections and other infections in newborn babies."
530,"Other health problems affecting newborn babies."
540,"Illness caused by not getting enough essential nutrients."
550,"Illness from not getting enough protein and energy from food."
560,"Health problems caused by too little iodine in the diet."
570,"Health problems caused by too little vitamin A."
580,"Low red blood cell count caused by too little iron."
590,"Other conditions caused by a lack of essential nutrients."
600,"Long-term diseases that are not passed from person to person."
610,"Cancers, where abnormal cells grow and can spread through the body."
620,"Cancers of the mouth and the upper throat behind it."
621,"Cancer of the lips and the inside of the mouth."
622,"Cancer of the upper throat behind the nose."
623,"Cancer of other parts of the throat."
630,"Cancer of the tube that carries food to the stomach."
640,"Cancer that starts in the lining of the stomach."
650,"Cancer of the large bowel, including the colon and rectum."
660,"Cancer that starts in the liver."
670,"Cancer of the pancreas, an organ behind the stomach."
680,"Cancer of the windpipe, airways, or lungs."
690,"Melanoma and other cancers of the skin."
691,"Serious skin cancer that starts in pigment-making cells."
692,"Common, usually less serious cancers of the skin."
700,"Cancer that starts in the breast."
710,"Cancer of the cervix, the lower part of the womb."
720,"Cancer of the main body of the womb."
730,"Cancer that starts in the ovaries."
740,"Cancer of the prostate gland in men."
742,"Cancer that starts in the testicles."
745,"Cancer of the kidney and the tubes that drain it."
750,"Cancer that starts in the bladder."
751,"Cancer of the brain and nervous system."
752,"Cancer of the gallbladder and the tubes that carry bile."
753,"Cancer of the voice box, or larynx."
754,"Cancer of the thyroid gland in the neck."
755,"Cancer of the lining around the lungs, linked to asbestos."
760,"Cancers of the lymph system and of bone marrow plasma cells."
761,"A cancer of the lymph system, called Hodgkin lymphoma."
762,"Cancers of the lymph system other than Hodgkin lymphoma."
763,"Cancer of plasma cells in the bone marrow."
770,"Cancer of the blood and bone marrow."
780,"Other malignant cancers not listed separately."
790,"Growths that are not cancer or of uncertain type."
800,"Condition where blood sugar stays too high."
810,"Disorders of hormones, blood, and the immune system."
811,"Inherited blood disorder affecting how the body makes haemoglobin."
812,"Inherited blood disorder that changes the shape of red blood cells."
813,"Other inherited disorders where red blood cells break down too soon."
814,"Other disorders of hormones, blood, and the immune system."
820,"Mental health conditions and disorders from alcohol or drug use."
830,"Conditions causing lasting low mood and loss of interest."
831,"Serious form of depression with lasting low mood."
832,"Long-lasting depression with milder but persistent low mood."
840,"Mental health condition with swings between high and low moods."
850,"Mental illness affecting thoughts, perceptions, and sense of reality."
860,"Health problems from drinking alcohol in a harmful way."
870,"Health problems from using drugs in a harmful way."
871,"Health problems from using opioids such as heroin or strong painkillers."
872,"Health problems from using cocaine in a harmful way."
873,"Health problems from using amphetamines such as speed."
874,"Health problems from using cannabis in a harmful way."
875,"Health problems from using other drugs in a harmful way."
880,"Conditions causing ongoing worry, fear, or panic."
890,"Conditions involving unhealthy eating patterns, such as anorexia."
900,"Developmental conditions affecting communication and social interaction."
910,"Behavioural conditions that usually begin in childhood."
911,"Condition affecting attention, activity, and impulse control, called ADHD."
912,"Childhood condition with repeated aggressive or rule-breaking behaviour."
920,"Below-average intellectual ability from an early age, with no known cause."
930,"Other mental and behavioural conditions not listed separately."
940,"Diseases affecting the brain, nerves, and spinal cord."
950,"Loss of memory and thinking ability, including Alzheimer disease."
960,"Disease that gradually affects movement, causing tremor and stiffness."
970,"Condition of the brain that causes repeated seizures."
980,"Disease where the immune system slowly damages the nerves."
990,"Recurring headaches, often severe and throbbing."
1000,"Ongoing headaches that are not migraines."
1010,"Other diseases of the brain and nerves not listed separately."
1020,"Diseases affecting the eyes, ears, and other sense organs."
1030,"Eye disease that damages the optic nerve, often from pressure."
1040,"Clouding of the eye's lens that blurs vision."
1050,"Blurred vision from a focusing problem that glasses can correct."
1060,"Eye disease causing loss of central vision with age."
1070,"Other causes of vision loss not listed separately."
1080,"Loss of hearing not listed separately."
1090,"Other disorders of the sense organs not listed separately."
1100,"Diseases of the heart and blood vessels."
1110,"Heart damage caused by rheumatic fever, often after strep throat."
1120,"Heart disease caused by long-term high blood pressure."
1130,"Reduced blood flow to the heart, including heart attacks."
1140,"Damage to the brain when its blood supply is blocked or bleeds."
1150,"Diseases that weaken or inflame the heart muscle and its lining."
1160,"Other diseases of the heart and blood vessels not listed separately."
1170,"Diseases affecting the lungs and breathing."
1180,"Long-term lung disease that makes breathing hard, such as emphysema."
1190,"Long-term condition where the airways narrow, making breathing difficult."
1200,"Other diseases of the lungs and breathing not listed separately."
1210,"Diseases of the stomach, intestines, and other digestive organs."
1220,"Sores in the lining of the stomach or upper intestine."
1230,"Long-term scarring of the liver that stops it working well."
1240,"Inflammation of the appendix, which may need urgent surgery."
1241,"Inflammation of the lining of the stomach or upper intestine."
1242,"Blockage of the intestines that stops food passing through."
1244,"Long-term inflammation of the bowel, such as Crohn's disease."
1246,"Diseases of the gallbladder and bile ducts, including gallstones."
1248,"Inflammation of the pancreas, a gland near the stomach."
1250,"Other diseases of the digestive system not listed separately."
1260,"Diseases of the kidneys, bladder, and reproductive organs."
1270,"Diseases that damage how the kidneys work."
1271,"Sudden inflammation of the kidney's filtering units."
1272,"Long-term kidney damage caused by diabetes."
1273,"Other long-term kidney disease not caused by diabetes."
1280,"Enlarged prostate gland that can block urine flow in men."
1290,"Stones that form in the kidneys or urinary tract."
1300,"Other diseases of the urinary system not listed separately."
1310,"Difficulty or inability to conceive a child."
1320,"Diseases of the female reproductive organs."
1330,"Diseases and conditions affecting the skin."
1340,"Diseases of the muscles, bones, and joints."
1350,"Disease where the immune system attacks and inflames the joints."
1360,"Joint disease where protective cartilage wears down over time."
1370,"Type of arthritis causing sudden, painful joint swelling."
1380,"Ongoing pain in the back or neck."
1390,"Other diseases of the muscles, bones, and joints not listed separately."
1400,"Health conditions that are present from birth."
1410,"Birth defects of the brain, spine, or spinal cord."
1420,"Birth defect leaving a gap in the lip or roof of the mouth."
1430,"Genetic condition caused by an extra chromosome, affecting development."
1440,"Heart defects that are present from birth."
1450,"Other genetic conditions caused by chromosome differences."
1460,"Other birth defects not listed separately."
1470,"Diseases of the teeth, gums, and mouth."
1480,"Tooth decay, also known as cavities."
1490,"Gum disease that can damage the tissue holding teeth in place."
1500,"Complete loss of all natural teeth."
1502,"Other diseases of the mouth and teeth not listed separately."
1505,"Sudden, unexplained death of a baby during sleep, called SIDS."
1510,"Deaths from accidents, violence, and other injuries."
1520,"Injuries that happen by accident, without intent to harm."
1530,"Death from traffic crashes on the road."
1540,"Death from swallowing, breathing in, or absorbing a harmful substance."
1550,"Death caused by an accidental fall."
1560,"Death from fire, extreme heat, or hot substances."
1570,"Death from drowning or submersion in water."
1575,"Death from accidents involving machinery or physical force."
1580,"Death caused by natural disasters, such as floods or earthquakes."
1590,"Other accidental injuries not listed separately."
1600,"Injuries caused deliberately, by oneself or by others."
1610,"Death by suicide or self-inflicted injury."
1620,"Death caused by violence from another person."
1630,"Death from war, conflict, or legal or police action."
1700,"Other deaths related to a pandemic."
